Date,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH,CH
2020-02-25,,,,,,,,0.0,,,,,,,,,,,,,1.0,,,,,,1.0
2020-02-26,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,2.0
2020-02-27,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,4.0
2020-02-28,1.0,,,1.0,1.0,1.0,,3.0,,,,,,,,,,,,,,,,1.0,,2.0,11.0
2020-02-29,,,,,2.0,1.0,,5.0,,,,,,,,,,,,,,,,1.0,,,14.0
2020-03-01,,,,2.0,2.0,1.0,1.0,7.0,0.0,,,,1.0,,,,,,,,,,,2.0,,,20.0
2020-03-02,2.0,,,4.0,2.0,1.0,2.0,7.0,,,,,,,,0.0,,,,,2.0,,,3.0,,2.0,26.0
2020-03-03,6.0,,,,2.0,3.0,,9.0,,,1.0,,,,,,,,1.0,,4.0,,,3.0,1.0,9.0,46.0
2020-03-04,7.0,,,6.0,2.0,3.0,4.0,9.0,,,1.0,0.0,8.0,,,1.0,,,3.0,,5.0,,,4.0,,,63.0
2020-03-05,9.0,,1.0,,6.0,8.0,6.0,13.0,,,2.0,,9.0,,,,,,,,18.0,,,5.0,3.0,19.0,109.0
2020-03-06,12.0,,,17.0,6.0,15.0,,17.0,,,3.0,,13.0,,,2.0,,1.0,6.0,,,,23.0,6.0,,26.0,175.0
2020-03-07,,,,,15.0,21.0,,26.0,,,4.0,,18.0,,,,,,,,45.0,,30.0,,,30.0,243.0
2020-03-08,,,,,19.0,24.0,8.0,35.0,,,4.0,,24.0,,,,,,,,58.0,,40.0,7.0,,37.0,298.0
2020-03-09,14.0,,2.0,34.0,20.0,28.0,11.0,44.0,,,5.0,,27.0,,,,,,,,68.0,,51.0,12.0,,40.0,368.0
2020-03-10,17.0,,,,22.0,33.0,,68.0,,,6.0,,31.0,,,,,,,,,,77.0,17.0,,49.0,447.0
2020-03-11,18.0,,,,26.0,49.0,16.0,79.0,,,6.0,,37.0,4.0,,,,,,,,,108.0,22.0,,59.0,540.0
2020-03-12,27.0,,5.0,,26.0,73.0,22.0,108.0,,,9.0,,46.0,,,15.0,,,,,180.0,2.0,156.0,30.0,,92.0,839.0
2020-03-13,32.0,,,,42.0,92.0,29.0,173.0,,,10.0,,59.0,,1.0,,,,9.0,,258.0,,204.0,53.0,13.0,140.0,1176.0
2020-03-14,,2.0,,,47.0,100.0,36.0,282.0,,,15.0,,68.0,,,,,,12.0,,265.0,,350.0,76.0,13.0,,1500.0
2020-03-15,,,,,54.0,,40.0,372.0,,,16.0,,74.0,,,,,,13.0,,291.0,,406.0,98.0,,,1713.0
2020-03-16,52.0,4.0,,123.0,76.0,144.0,45.0,472.0,,,17.0,,93.0,,,,,,,17.0,330.0,,508.0,116.0,24.0,270.0,2332.0
2020-03-17,67.0,5.0,,,89.0,165.0,59.0,619.0,10.0,,24.0,,114.0,,,47.0,,,,23.0,422.0,,608.0,173.0,,294.0,2892.0
2020-03-18,101.0,,11.0,193.0,116.0,182.0,86.0,751.0,,116.0,26.0,65.0,146.0,,,61.0,,43.0,,32.0,511.0,5.0,796.0,225.0,,424.0,3947.0
2020-03-19,118.0,6.0,,282.0,134.0,222.0,111.0,961.0,17.0,145.0,31.0,,175.0,25.0,,85.0,,,,36.0,638.0,7.0,1212.0,311.0,,526.0,5199.0
2020-03-20,168.0,,,377.0,184.0,272.0,145.0,1136.0,,213.0,37.0,92.0,188.0,28.0,,98.0,14.0,66.0,,49.0,834.0,7.0,1432.0,346.0,48.0,773.0,6555.0
2020-03-21,,,,418.0,282.0,299.0,167.0,1262.0,,239.0,49.0,109.0,200.0,33.0,,,,,,56.0,918.0,12.0,1676.0,433.0,,,7368.0
2020-03-22,232.0,,,,289.0,358.0,202.0,1417.0,31.0,266.0,51.0,131.0,216.0,36.0,,,,,,75.0,939.0,,1782.0,490.0,,,7975.0
2020-03-23,241.0,,30.0,470.0,302.0,376.0,226.0,1509.0,,,57.0,156.0,247.0,39.0,25.0,228.0,30.0,95.0,,81.0,1165.0,22.0,1822.0,527.0,62.0,1068.0,9094.0
2020-03-24,266.0,8.0,33.0,532.0,306.0,414.0,255.0,1598.0,33.0,276.0,66.0,205.0,265.0,42.0,25.0,,32.0,104.0,,87.0,1211.0,25.0,2162.0,606.0,72.0,1211.0,10075.0
2020-03-25,319.0,9.0,34.0,624.0,341.0,466.0,293.0,1708.0,40.0,322.0,78.0,228.0,280.0,44.0,27.0,228.0,34.0,129.0,99.0,96.0,1354.0,,2215.0,651.0,80.0,1363.0,11087.0
2020-03-26,349.0,11.0,42.0,660.0,422.0,505.0,309.0,1902.0,43.0,373.0,99.0,253.0,299.0,48.0,30.0,306.0,35.0,141.0,99.0,110.0,1401.0,38.0,2532.0,715.0,87.0,1476.0,12285.0
2020-03-27,364.0,12.0,44.0,718.0,466.0,534.0,369.0,2051.0,44.0,409.0,112.0,287.0,316.0,54.0,37.0,,36.0,157.0,119.0,117.0,1688.0,40.0,2745.0,808.0,101.0,1578.0,13512.0
2020-03-28,,13.0,45.0,767.0,502.0,573.0,421.0,2277.0,47.0,,118.0,317.0,337.0,55.0,,339.0,37.0,173.0,122.0,134.0,1727.0,48.0,2936.0,902.0,,1720.0,14521.0
2020-03-29,,,48.0,798.0,511.0,609.0,442.0,2349.0,,,118.0,339.0,346.0,59.0,,365.0,40.0,190.0,128.0,138.0,1837.0,50.0,3168.0,964.0,,1758.0,15228.0
2020-03-30,481.0,14.0,50.0,826.0,539.0,621.0,477.0,2450.0,50.0,497.0,122.0,351.0,378.0,63.0,46.0,389.0,41.0,,135.0,148.0,1962.0,53.0,3272.0,1000.0,112.0,1874.0,16141.0
2020-03-31,499.0,14.0,58.0,856.0,561.0,657.0,491.0,2657.0,53.0,513.0,127.0,375.0,402.0,70.0,46.0,414.0,42.0,196.0,141.0,154.0,2091.0,57.0,3465.0,1085.0,114.0,1960.0,17098.0
2020-04-01,549.0,,61.0,909.0,588.0,691.0,525.0,2775.0,56.0,521.0,144.0,401.0,420.0,70.0,48.0,414.0,44.0,216.0,146.0,166.0,2195.0,59.0,3639.0,1145.0,125.0,2148.0,18069.0
2020-04-02,592.0,20.0,64.0,1003.0,610.0,718.0,550.0,2938.0,58.0,569.0,145.0,422.0,430.0,76.0,51.0,480.0,47.0,227.0,155.0,179.0,2271.0,60.0,3796.0,1218.0,131.0,2323.0,19133.0
2020-04-03,626.0,20.0,65.0,1073.0,625.0,758.0,588.0,3220.0,59.0,598.0,149.0,449.0,433.0,79.0,56.0,480.0,47.0,237.0,164.0,198.0,2377.0,62.0,3915.0,1273.0,138.0,2452.0,20141.0
2020-04-04,,21.0,66.0,1106.0,656.0,771.0,638.0,3384.0,,,153.0,469.0,,80.0,,504.0,47.0,250.0,168.0,208.0,2422.0,66.0,4035.0,1319.0,146.0,2492.0,20773.0
2020-04-05,,,67.0,1137.0,670.0,794.0,669.0,,,,156.0,478.0,,80.0,,515.0,,258.0,170.0,213.0,2508.0,67.0,,1356.0,,2522.0,21065.0
