canton,sex,age,count
CH,Male,1,43971
CH,Male,2,45122
CH,Male,3,45147
CH,Male,4,44750
CH,Male,5,43903
CH,Male,6,44364
CH,Male,7,43770
CH,Male,8,44012
CH,Male,9,43649
CH,Male,10,43481
CH,Male,11,42417
CH,Male,12,42192
CH,Male,13,42036
CH,Male,14,41726
CH,Male,15,41221
CH,Male,16,42139
CH,Male,17,42505
CH,Male,18,45577
CH,Male,19,45811
CH,Male,20,47278
CH,Male,21,48512
CH,Male,22,49384
CH,Male,23,49648
CH,Male,24,51091
CH,Male,25,52804
CH,Male,26,55400
CH,Male,27,57207
CH,Male,28,58634
CH,Male,29,58751
CH,Male,30,60374
CH,Male,31,59635
CH,Male,32,60388
CH,Male,33,60519
CH,Male,34,61249
CH,Male,35,60814
CH,Male,36,61828
CH,Male,37,61448
CH,Male,38,61685
CH,Male,39,59470
CH,Male,40,58883
CH,Male,41,58801
CH,Male,42,57902
CH,Male,43,57734
CH,Male,44,59169
CH,Male,45,59200
CH,Male,46,61245
CH,Male,47,62637
CH,Male,48,63576
CH,Male,49,64991
CH,Male,50,66238
CH,Male,51,66961
CH,Male,52,68392
CH,Male,53,68652
CH,Male,54,69525
CH,Male,55,66968
CH,Male,56,64252
CH,Male,57,61489
CH,Male,58,59713
CH,Male,59,57460
CH,Male,60,55318
CH,Male,61,53370
CH,Male,62,51601
CH,Male,63,48739
CH,Male,64,46449
CH,Male,65,44271
CH,Male,66,43203
CH,Male,67,41031
CH,Male,68,41845
CH,Male,69,40691
CH,Male,70,40631
CH,Male,71,39793
CH,Male,72,39228
CH,Male,73,37329
CH,Male,74,35854
CH,Male,75,33867
CH,Male,76,31821
CH,Male,77,28671
CH,Male,78,25369
CH,Male,79,24119
CH,Male,80,22555
CH,Male,81,20886
CH,Male,82,19637
CH,Male,83,18413
CH,Male,84,16761
CH,Male,85,14721
CH,Male,86,13466
CH,Male,87,11738
CH,Male,88,10121
CH,Male,89,8467
CH,Male,90,7007
CH,Male,91,5578
CH,Male,92,4508
CH,Male,93,3487
CH,Male,94,2568
CH,Male,95,1948
CH,Male,96,1324
CH,Male,97,960
CH,Male,98,599
CH,Male,99,790
CH,Female,1,41640
CH,Female,2,43084
CH,Female,3,42394
CH,Female,4,42320
CH,Female,5,41412
CH,Female,6,41534
CH,Female,7,41316
CH,Female,8,42223
CH,Female,9,41279
CH,Female,10,40856
CH,Female,11,40350
CH,Female,12,39834
CH,Female,13,39693
CH,Female,14,40019
CH,Female,15,39340
CH,Female,16,39666
CH,Female,17,39772
CH,Female,18,42267
CH,Female,19,42631
CH,Female,20,43793
CH,Female,21,44935
CH,Female,22,46578
CH,Female,23,47093
CH,Female,24,48342
CH,Female,25,50322
CH,Female,26,53720
CH,Female,27,55137
CH,Female,28,57030
CH,Female,29,57454
CH,Female,30,59110
CH,Female,31,58232
CH,Female,32,59415
CH,Female,33,59610
CH,Female,34,59839
CH,Female,35,59194
CH,Female,36,60639
CH,Female,37,60082
CH,Female,38,60118
CH,Female,39,58686
CH,Female,40,57888
CH,Female,41,57776
CH,Female,42,57608
CH,Female,43,57179
CH,Female,44,58120
CH,Female,45,58682
CH,Female,46,59900
CH,Female,47,62130
CH,Female,48,62736
CH,Female,49,64499
CH,Female,50,65644
CH,Female,51,66024
CH,Female,52,66900
CH,Female,53,66537
CH,Female,54,67625
CH,Female,55,65512
CH,Female,56,62746
CH,Female,57,60756
CH,Female,58,58873
CH,Female,59,56966
CH,Female,60,54314
CH,Female,61,52971
CH,Female,62,50952
CH,Female,63,49056
CH,Female,64,47838
CH,Female,65,46126
CH,Female,66,45576
CH,Female,67,43684
CH,Female,68,44636
CH,Female,69,43873
CH,Female,70,44322
CH,Female,71,43437
CH,Female,72,43149
CH,Female,73,40767
CH,Female,74,40194
CH,Female,75,38743
CH,Female,76,36533
CH,Female,77,34279
CH,Female,78,31604
CH,Female,79,30300
CH,Female,80,28925
CH,Female,81,27284
CH,Female,82,26753
CH,Female,83,25745
CH,Female,84,24288
CH,Female,85,22709
CH,Female,86,21258
CH,Female,87,19500
CH,Female,88,18320
CH,Female,89,16009
CH,Female,90,14011
CH,Female,91,11948
CH,Female,92,10291
CH,Female,93,8641
