index,canton,sex,age,count,percentage,cases,fatalities,cases_pp,fatalities_pp
3861,AG,Female,1,3332,0.009981726131631766,1,0,0.00030012004801920766,0.0
3862,AG,Female,2,3525,0.010559899343938169,0,0,0.0,0.0
3863,AG,Female,3,3418,0.010239357718462598,0,0,0.0,0.0
3864,AG,Female,4,3366,0.010083580479913723,1,0,0.00029708853238265005,0.0
3865,AG,Female,5,3317,0.009936790389742668,1,0,0.00030147723846849563,0.0
3866,AG,Female,6,3436,0.010293280608729517,0,0,0.0,0.0
3867,AG,Female,7,3247,0.009727090260926875,0,0,0.0,0.0
3868,AG,Female,8,3496,0.010473023576285911,0,0,0.0,0.0
3869,AG,Female,9,3292,0.009861897486594171,0,0,0.0,0.0
3870,AG,Female,10,3336,0.009993708996135527,0,0,0.0,0.0
3871,AG,Female,11,3163,0.009475450106347922,1,0,0.0003161555485298767,0.0
3872,AG,Female,12,3185,0.0095413558611186,0,0,0.0,0.0
3873,AG,Female,13,3169,0.009493424403103561,0,0,0.0,0.0
3874,AG,Female,14,3213,0.009625235912644917,0,0,0.0,0.0
3875,AG,Female,15,3125,0.009361612893562205,0,0,0.0,0.0
3876,AG,Female,16,3116,0.009334651448428747,4,0,0.0012836970474967907,0.0
3877,AG,Female,17,3098,0.009280728558161828,8,0,0.0025823111684958036,0.0
3878,AG,Female,18,3188,0.00955034300949642,2,0,0.0006273525721455458,0.0
3879,AG,Female,19,3252,0.009742068841556574,9,0,0.0027675276752767526,0.0
3880,AG,Female,20,3300,0.00988586321560169,6,0,0.0018181818181818182,0.0
3881,AG,Female,21,3505,0.01049998502141937,9,0,0.0025677603423680455,0.0
3882,AG,Female,22,3597,0.010775590905005841,6,0,0.0016680567139282735,0.0
3883,AG,Female,23,3674,0.011006261046703214,10,0,0.0027218290691344584,0.0
3884,AG,Female,24,3735,0.011188999730385549,5,0,0.0013386880856760374,0.0
3885,AG,Female,25,3854,0.011545489949372397,14,0,0.0036325895173845357,0.0
3886,AG,Female,26,4269,0.012788712141637458,14,0,0.0032794565472007496,0.0
3887,AG,Female,27,4237,0.01269284922560738,10,0,0.002360160490913382,0.0
3888,AG,Female,28,4341,0.013004403702705131,8,0,0.0018428933425478,0.0
3889,AG,Female,29,4356,0.01304933944459423,17,0,0.0039026629935720843,0.0
3890,AG,Female,30,4440,0.013300979599173183,13,0,0.002927927927927928,0.0
3891,AG,Female,31,4539,0.013597555495641234,9,0,0.0019828155981493722,0.0
3892,AG,Female,32,4595,0.013765315598693867,4,0,0.0008705114254624592,0.0
3893,AG,Female,33,4586,0.013738354153560409,13,0,0.0028347143480157,0.0
3894,AG,Female,34,4649,0.013927084269494622,7,0,0.001505700150570015,0.0
3895,AG,Female,35,4682,0.01402594290165064,5,0,0.0010679196924391287,0.0
3896,AG,Female,36,4824,0.014451334591534106,6,0,0.0012437810945273632,0.0
3897,AG,Female,37,4853,0.014538210359186364,11,0,0.002266639192252215,0.0
3898,AG,Female,38,4674,0.01400197717264312,6,1,0.0012836970474967907,0.0002139495079161318
3899,AG,Female,39,4517,0.013531649740870556,10,0,0.002213858755811379,0.0
3900,AG,Female,40,4432,0.013277013870165662,11,0,0.0024819494584837547,0.0
3901,AG,Female,41,4413,0.013220095263772805,10,0,0.002266032177656923,0.0
3902,AG,Female,42,4561,0.013663461250411912,3,0,0.00065775049331287,0.0
3903,AG,Female,43,4443,0.013309966747551001,6,0,0.0013504388926401081,0.0
3904,AG,Female,44,4456,0.013348911057188221,8,0,0.0017953321364452424,0.0
3905,AG,Female,45,4415,0.013226086696024686,11,0,0.002491506228765572,0.0
3906,AG,Female,46,4667,0.013981007159761541,10,0,0.002142704092564817,0.0
3907,AG,Female,47,4915,0.014723944758994637,13,0,0.002644964394710071,0.0
3908,AG,Female,48,5014,0.015020520655462688,8,0,0.0015955325089748703,0.0
3909,AG,Female,49,5129,0.015365028009945778,13,0,0.0025346071358939366,0.0
3910,AG,Female,50,5311,0.015910248344866842,9,0,0.0016945961212577669,0.0
3911,AG,Female,51,5351,0.016030076989904437,10,0,0.0018688095683049898,0.0
3912,AG,Female,52,5444,0.01630867858961685,10,0,0.0018368846436443791,0.0
3913,AG,Female,53,5396,0.01616488421557173,16,0,0.0029651593773165306,0.0
3914,AG,Female,54,5485,0.016431502950780386,16,0,0.0029170464904284413,0.0
3915,AG,Female,55,5337,0.015988136964141277,16,0,0.002997938916994566,0.0
3916,AG,Female,56,5036,0.015086426410233366,10,0,0.0019857029388403494,0.0
3917,AG,Female,57,4955,0.014843773404032234,14,0,0.0028254288597376388,0.0
3918,AG,Female,58,4927,0.014759893352505916,10,0,0.0020296326364927946,0.0
3919,AG,Female,59,4634,0.013882148527605524,12,0,0.002589555459646094,0.0
3920,AG,Female,60,4577,0.01371139270842695,11,0,0.002403320952589032,0.0
3921,AG,Female,61,4476,0.013408825379707019,9,0,0.0020107238605898124,0.0
3922,AG,Female,62,4242,0.01270782780623708,7,0,0.0016501650165016502,0.0
3923,AG,Female,63,4139,0.01239926904526527,6,0,0.001449625513409036,0.0
3924,AG,Female,64,3963,0.011872023007099847,7,0,0.0017663386323492304,0.0
3925,AG,Female,65,3784,0.011335789820556604,3,0,0.0007928118393234672,0.0
3926,AG,Female,66,3755,0.011248914052904346,6,0,0.0015978695073235686,0.0
3927,AG,Female,67,3461,0.010368173511878015,3,0,0.0008668015024559376,0.0
3928,AG,Female,68,3495,0.01047002786015997,5,0,0.001430615164520744,0.0
3929,AG,Female,69,3391,0.01015847338306222,4,0,0.0011795930404010617,0.0
3930,AG,Female,70,3383,0.010134507654054702,5,0,0.0014779781259237363,0.0
3931,AG,Female,71,3219,0.009643210209400557,4,0,0.0012426219322771047,0.0
3932,AG,Female,72,3242,0.009712111680297175,5,0,0.0015422578655151142,0.0
3933,AG,Female,73,3058,0.009160899913124233,3,0,0.0009810333551340746,0.0
3934,AG,Female,74,3048,0.009130942751864834,4,0,0.0013123359580052493,0.0
3935,AG,Female,75,2926,0.008765465384500164,3,0,0.0010252904989747095,0.0
3936,AG,Female,76,2702,0.008094424972289627,4,0,0.0014803849000740192,0.0
3937,AG,Female,77,2452,0.007345495940804649,1,0,0.0004078303425774878,0.0
3938,AG,Female,78,2214,0.006632515502830952,3,0,0.0013550135501355014,0.0
3939,AG,Female,79,2181,0.006533656870674935,5,0,0.0022925263640531865,0.0
3940,AG,Female,80,2069,0.006198136664569666,2,0,0.0009666505558240696,0.0
3941,AG,Female,81,1924,0.005763757826308379,2,0,0.0010395010395010396,0.0
3942,AG,Female,82,1919,0.0057487792456786795,3,0,0.001563314226159458,0.0
3943,AG,Female,83,1752,0.005248494652646716,6,0,0.003424657534246575,0.0
3944,AG,Female,84,1681,0.005035798807704982,4,0,0.002379535990481856,0.0
3945,AG,Female,85,1550,0.004643359995206854,5,0,0.0032258064516129032,0.0
3946,AG,Female,86,1476,0.004421677001887301,3,0,0.0020325203252032522,0.0
3947,AG,Female,87,1326,0.0039723195829963155,4,1,0.0030165912518853697,0.0007541478129713424
3948,AG,Female,88,1227,0.0036757436865282648,4,1,0.0032599837000814994,0.0008149959250203749
3949,AG,Female,89,1072,0.003211407687007579,2,1,0.0018656716417910447,0.0009328358208955224
3950,AG,Female,90,940,0.0028159731583835114,3,0,0.0031914893617021275,0.0
3951,AG,Female,91,758,0.002270752823462449,5,0,0.006596306068601583,0.0
3952,AG,Female,92,662,0.0019831640753722175,1,0,0.0015105740181268882,0.0
3953,AG,Female,93,543,0.001626673856385369,1,0,0.001841620626151013,0.0
3954,AG,Female,94,422,0.0012641922051466403,2,0,0.004739336492890996,0.0
3955,AG,Female,95,326,0.0009766034570564094,0,0,0.0,0.0
3956,AG,Female,96,218,0.0006530661154548995,2,0,0.009174311926605505,0.0
3957,AG,Female,97,162,0.0004853060124022648,2,0,0.012345679012345678,0.0
3958,AG,Female,98,102,0.0003055630448458704,1,0,0.00980392156862745,0.0
